OGLE-LMC-RRLYR-01275 18.806 19.301  0.3487266 0.0000010  2171.82648  0.259  0.169 5.198  0.000   -    0.4690399 0.0000030  2171.62689  0.182  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01313 18.799 19.302  0.3620532 0.0000009  2165.83031  0.268  0.230 5.127  0.000   -    0.4865762 0.0000018  2165.66169  0.259  0.248 4.082  0.000   -  
OGLE-LMC-RRLYR-01318 19.166 19.641  0.3448226 0.0000012  2166.76719  0.263  0.210 5.352  0.018   -    0.4643633 0.0000020  2166.51677  0.275  0.249 4.509  0.000   -  
OGLE-LMC-RRLYR-01319 19.241 19.886  0.3540812 0.0000017  2165.67860  0.252  0.195 5.158  0.000   -    0.4759797 0.0000042  2165.64113  0.169  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01323 19.049 19.559  0.3432779 0.0000011  2166.50298  0.261  0.221 5.478  0.000   -    0.4622085 0.0000021  2166.73265  0.248  0.208 4.087  0.000   -  
OGLE-LMC-RRLYR-01329 18.742 19.309  0.3966361 0.0000011  2166.57441  0.254  0.238 5.118  0.000   -    0.5314950 0.0000047  2166.37710  0.129  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01349 19.499 20.347  0.3685843 0.0000021  2166.80665  0.216  0.000   -    0.000   -    0.4948566 0.0000107  2166.45150  0.077  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01377 18.717 19.268  0.4104983 0.0000007  2171.78024  0.262  0.239 4.994  0.075 3.514  0.5502578 0.0000028  2171.68339  0.134  0.010   -    0.004   -  
OGLE-LMC-RRLYR-01407 18.724 19.209  0.3678034 0.0000009  2165.83709  0.242  0.150 5.147  0.085 3.096  0.4938892 0.0000022  2165.41936  0.174  0.320 3.804  0.000   -  
OGLE-LMC-RRLYR-01416 18.888 19.442  0.3559587 0.0000012  2166.48127  0.246  0.205 5.233  0.000   -    0.4783218 0.0000023  2166.52969  0.212  0.210 3.543  0.000   -  
OGLE-LMC-RRLYR-01438 18.967 19.670  0.3944444 0.0000015  2166.71764  0.235  0.000   -    0.000   -    0.5291085 0.0000045  2166.45272  0.140  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01450 18.962 19.417  0.3486641 0.0000009  2166.54590  0.245  0.128 5.117  0.000   -    0.4688285 0.0000021  2166.81371  0.159  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01502 18.717 19.218  0.3795088 0.0000009  2165.54399  0.260  0.164 5.323  0.006   -    0.5091886 0.0000025  2165.87830  0.184  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01505 19.172 19.752  0.3454480 0.0000016  2166.64662  0.201  0.000   -    0.000   -    0.4649435 0.0000026  2166.61084  0.231  0.239 4.555  0.000   -  
OGLE-LMC-RRLYR-01513 18.994 19.554  0.3519883 0.0000010  2165.88840  0.267  0.275 4.850  0.012   -    0.4731557 0.0000025  2165.81561  0.182  0.313 3.807  0.000   -  
OGLE-LMC-RRLYR-01553 18.803 19.278  0.3776925 0.0000012  2166.75200  0.234  0.134 4.689  0.000   -    0.5067989 0.0000042  2166.45571  0.113  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01622 18.931 19.408  0.3649081 0.0000010  2165.85949  0.239  0.000   -    0.000   -    0.4905940 0.0000022  2165.64106  0.198  0.231 4.319  0.000   -  
OGLE-LMC-RRLYR-01628 18.884 19.416  0.3553457 0.0000010  2166.73167  0.255  0.247 5.113  0.000   -    0.4779278 0.0000018  2166.72185  0.260  0.246 4.439  0.000   -  
OGLE-LMC-RRLYR-01657 19.088 19.684  0.3512483 0.0000010  2165.73831  0.271  0.142 5.027  0.000   -    0.4720758 0.0000037  2165.86754  0.151  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01663 18.865 19.458  0.3576152 0.0000009  2165.62397  0.259  0.212 5.191  0.182 3.216  0.4805711 0.0000027  2165.68126  0.206  0.242 4.094  0.000   -  
OGLE-LMC-RRLYR-01699 18.814 19.296  0.3827024 0.0000011  2166.73456  0.260  0.190 4.722  0.094 3.319  0.5131573 0.0000042  2166.63588  0.128  0.192 4.114  0.000   -  
OGLE-LMC-RRLYR-01714 19.228 19.962  0.3920740 0.0000017  2165.90054  0.254  0.125 4.910  0.100 2.874  0.5263655 0.0000056  2165.46459  0.146  0.278 4.415  0.027   -  
OGLE-LMC-RRLYR-01770 18.712 19.142  0.3660484 0.0000007  2166.56576  0.271  0.160 5.367  0.000   -    0.4914787 0.0000078  2166.56139  0.055  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01827 18.915 19.484  0.3687017 0.0000009  2166.78515  0.253  0.227 4.637  0.000   -    0.4952278 0.0000023  2166.35511  0.183  0.287 3.723  0.000   -  
OGLE-LMC-RRLYR-01841 19.079 19.620  0.3537064 0.0000010  2166.66304  0.286  0.294 5.125  0.000   -    0.4754401 0.0000027  2166.82347  0.198  0.241 4.005  0.000   -  
OGLE-LMC-RRLYR-01854 19.399 20.185  0.3563750 0.0000014  2165.69114  0.252  0.000   -    0.000   -    0.4790768 0.0000069  2165.58336  0.090  0.000   -    0.000   -  
OGLE-LMC-RRLYR-01867 19.032 19.697  0.3786371 0.0000009  2165.64899  0.245  0.165 5.063  0.108 3.833  0.5079093 0.0000039  2165.41126  0.128  0.204 4.154  0.000   -  
