OGLE-LMC-ECL-00158  19.745 20.476    7.289780  3574.5268  0.509  0.155  0.899  1.687 0.2927
OGLE-LMC-ECL-00159  17.582 18.756   21.970652  3604.3787  0.164  0.054  0.232 -0.756 1.5066
OGLE-LMC-ECL-00160  17.895 17.883    4.603612  3565.5871  0.185  0.054  1.604  2.602 0.7430
OGLE-LMC-ECL-00161  17.471 17.439   12.958222  3574.2678  0.149  0.033  2.528 10.419 0.8866
OGLE-LMC-ECL-00162  19.885 20.369    0.854050  3558.7041  0.733  0.228  1.081  1.128 0.6914
OGLE-LMC-ECL-00163  18.334 18.299    2.503100  3561.2382  0.340  0.091  1.707  2.516 1.4678
OGLE-LMC-ECL-00164  17.465 17.476    1.560160  3564.2977  0.303  0.090  1.307  0.597 1.5333
OGLE-LMC-ECL-00165  19.317 19.456    3.341282  3562.2881  1.129  0.220  3.486 15.756 1.1356
OGLE-LMC-ECL-00166  18.854 18.939    3.318684  3566.0624  0.236  0.070  1.064  1.465 0.3316
OGLE-LMC-ECL-00167  18.449 19.248    3.028940  3561.3882  0.335  0.089  1.667  2.774 1.2923
OGLE-LMC-ECL-00168  15.834 17.202  204.123530  3790.2944  0.058  0.019  0.664  0.562 1.3096
OGLE-LMC-ECL-00169  17.031 16.986    2.641463  3559.5949  0.133  0.039  0.635 -0.263 1.6133
OGLE-LMC-ECL-00170  17.103 17.074   26.371710  3566.2550  0.187  0.040  5.093 34.410 1.4010
OGLE-LMC-ECL-00171  17.377 18.534   41.466521  3619.1563  0.140  0.042  0.699  0.065 0.6259
OGLE-LMC-ECL-00172  19.325 19.604    4.705920  3564.1413  0.973  0.215  2.832 10.218 1.2449
OGLE-LMC-ECL-00173  18.376 19.458   14.832411  3597.3235  0.365  0.103  0.852  0.286 1.6237
OGLE-LMC-ECL-00174  19.167 19.421    5.785099  3563.3617  1.164  0.241  3.064  9.993 1.6151
OGLE-LMC-ECL-00175  19.379 19.883    2.972992  3564.9835  0.717  0.189  1.590  2.568 1.3018
OGLE-LMC-ECL-00176  14.029 14.940    3.458193  3560.2747  0.154  0.042  1.223  2.663 0.7269
OGLE-LMC-ECL-00177  19.416 19.931    0.777378  3558.9126  0.538  0.152  0.914  0.885 0.7412
OGLE-LMC-ECL-00178  19.442 19.755    5.725923  3560.3705  0.782  0.178  2.165  8.941 0.8542
OGLE-LMC-ECL-00179  17.911 17.890    5.758010  3572.2241  0.187  0.046  2.060  7.428 0.8728
OGLE-LMC-ECL-00180  18.918 20.734    3.355840  3567.9552  0.341  0.083  2.023  8.176 0.8668
OGLE-LMC-ECL-00181  19.420 19.725    6.293879  3559.2207  0.894  0.209  2.619  9.100 1.1285
OGLE-LMC-ECL-00182  19.475 19.580    1.351956  3557.7522  0.502  0.137  1.726  6.469 0.7829
OGLE-LMC-ECL-00183  19.960 20.235    2.153526  3566.0146  0.685  0.203  1.292  2.306 0.5990
OGLE-LMC-ECL-00184  19.637 19.905    3.457784  3565.9355  0.609  0.162  1.138  1.968 0.5622
OGLE-LMC-ECL-00185  18.050 18.598    1.165920  3564.2163  0.123  0.039  0.828  0.475 0.9118
OGLE-LMC-ECL-00186  19.920 20.314    3.443571  3557.8574  0.861  0.216  1.546  3.393 0.6003
OGLE-LMC-ECL-00187  19.121 19.300    2.759603  3565.6185  0.349  0.096  1.120  1.945 0.6669
OGLE-LMC-ECL-00188  19.859 20.029    1.881178  3556.5821  0.729  0.200  1.333  2.484 0.6553
OGLE-LMC-ECL-00189  17.940    -      1.965810  3575.5141  0.699  0.185  2.441  5.412 1.8036
OGLE-LMC-ECL-00190  18.577 18.625    1.571145  3559.6346  0.245  0.074  0.869  0.910 0.6968
OGLE-LMC-ECL-00191  19.946 20.230    1.939270  3566.6485  0.888  0.228  1.548  3.624 0.5841
OGLE-LMC-ECL-00192  17.770 17.794    1.306109  3562.1102  0.211  0.059  1.054  0.776 1.2592
OGLE-LMC-ECL-00193  17.974 19.090   95.763172  3715.2349  0.142  0.049  0.344 -0.513 1.0688
OGLE-LMC-ECL-00194  17.762 18.887   90.700468  3753.4238  0.114  0.041  0.270 -0.151 0.5944
OGLE-LMC-ECL-00195  19.314 19.233    1.921046  3561.7171  0.525  0.134  2.069  6.853 0.8563
OGLE-LMC-ECL-00196  19.795 20.218    3.826774  3565.3653  0.885  0.205  1.778  4.928 0.8505
OGLE-LMC-ECL-00197  19.484 20.230   13.830377  3562.4697  0.740  0.174  2.713 12.866 0.9400
OGLE-LMC-ECL-00198  19.681 20.163    2.898676  3566.8564  0.581  0.162  1.121  2.207 0.5025
